year,month,trip_count,crash_count,percentage
2023,12,410,0,0.0
2024,1,1938569,28,0.0014443643739273661
2024,2,2177119,32,0.0014698323793968084
2024,3,2728997,62,0.0022718969643425774
2024,4,3296073,82,0.0024878089775317476
2024,5,4232552,141,0.0033313235135681734
2024,6,4894039,150,0.003064953099066027
2024,7,4835392,130,0.002688510052545895
2024,8,4710398,133,0.0028235406010277686
2024,9,5112842,194,0.0037943672032110516
2024,10,5269026,193,0.003662916068358744
2024,11,3794514,89,0.002345491412075433
2024,12,2365729,58,0.0024516755723077324
